"corpus","user/it3/oct_GZQS3fc7aPtWJBbZbMEFoQ"
"subcorpus","-"
Item,Frequency (focus),Frequency (reference),Relative frequency (focus),Relative frequency (reference),Score
"unknown use",15,503,96.16802,0.00817,96.381
"property value",38,95066,243.62566,1.54363,96.172
"Weighted datum",15,698,96.16802,0.01133,96.079
"retained earnings",17,9124,108.99043,0.14815,95.798
"known use of proceeds",14,0,89.75682,0.00000,90.757
"weighted data quality",14,0,89.75682,0.00000,90.757
"sector-specific average emission factor",14,0,89.75682,0.00000,90.757
"emission factor database",14,0,89.75682,0.00000,90.757
"PCAF methodology",14,0,89.75682,0.00000,90.757
"emissions score",14,0,89.75682,0.00000,90.757
"financed avoided emission",14,0,89.75682,0.00000,90.757
"Supplier-specific emission factor",14,0,89.75682,0.00000,90.757
"unallocated amount",14,106,89.75682,0.00172,90.601
"Carbon Accounting Financials",14,114,89.75682,0.00185,90.589
"official filings",14,189,89.75682,0.00307,90.479
"Detailed description of the data",14,217,89.75682,0.00352,90.438
"reporting emission",14,279,89.75682,0.00453,90.348
"primary issuance",14,363,89.75682,0.00589,90.225
"verified emission",14,426,89.75682,0.00692,90.133
"operational control",17,13655,108.99043,0.22172,90.029
"fixed point in time",14,677,89.75682,0.01099,89.770
"individual project",20,27505,128.22403,0.44661,89.329
"financial sector",35,94286,224.39206,1.53096,89.054
"emission datum",14,1647,89.75682,0.02674,88.393
"book value",20,28607,128.22403,0.46450,88.237
"reporting period",25,51112,160.28004,0.82993,88.135
"enterprise value",16,10876,102.57922,0.17660,88.033
"value chain",44,136501,282.09286,2.21643,88.015
"total company",14,2256,89.75682,0.03663,87.550
"Climate transition",14,2616,89.75682,0.04248,87.059
"general corporate purpose",14,3720,89.75682,0.06040,85.587
"asset class method",13,0,83.34562,0.00000,84.346
"Facilitated amount",13,0,83.34562,0.00000,84.346
"General description of the data",13,0,83.34562,0.00000,84.346
"portfolio r",13,0,83.34562,0.00000,84.346
"collateral attribution",13,0,83.34562,0.00000,84.346
